Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-02-03,19:56:00,BK906286,Cancelled,C6013,Prime Plus,Kengeri,Malleshwaram,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Customer Demand,,,,
2025-03-02,14:39:00,BK524462,Cancelled,C7550,Auto,Sahakaranagar,Rajajinagar,,,1,Driver asked to cancel,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-06,11:54:00,BK884406,Success,C6893,eBike,Peenya,RT Nagar,4.0,3.0,0,,0,,0,,367.0,40.0,3.8,4.3
2025-02-28,05:39:00,BK698763,Cancelled,C6320,Mini,Bangalore East,Sanjay Nagar,,,1,Driver asked to cancel,1,Customer related issue,1,Other Issue,,,,
2025-02-23,08:07:00,BK564270,Cancelled,C8135,Auto,Indiranagar,MG Road,,,1,Change of plans,1,The customer was coughing/sick,1,Other Issue,,,,
2025-02-18,14:45:00,BK141775,Cancelled,C7429,eBike,RT Nagar,Bangalore East,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Vehicle Breakdown,,,,
2025-02-18,19:57:00,BK651178,Cancelled,C7554,Auto,Banashankari,Singasandra,,,1,Driver asked to cancel,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-09,12:38:00,BK360368,Success,C9846,Mini,KR Puram,Whitefield,9.0,10.0,0,,0,,0,,153.0,15.0,3.6,4.8
2025-02-03,01:19:00,BK876433,Success,C8020,Mini,Yelahanka,Rajajinagar,5.0,10.0,0,,0,,0,,159.0,46.0,4.8,3.6
2025-02-24,06:38:00,BK381171,Cancelled,C4382,Prime Sedan,MG Road,Bengaluru East,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-23,14:10:00,BK911551,Cancelled,C1630,Prime Plus,Ulsoor,Yeshwanthpur,,,1,Wrong Address,1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-14,13:10:00,BK158469,Cancelled,C5347,eBike,Ulsoor,Sree Chowdeshwari Nagar,,,1,Driver asked to cancel,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-01,06:05:00,BK239778,Success,C3568,Prime Sedan,Rajajinagar,Kormangala 1st Block,10.0,11.0,0,,0,,0,,494.0,42.0,4.6,3.7
2025-02-12,18:53:00,BK507715,Success,C3810,Bike,MG Road,Yelahanka New Town,9.0,10.0,0,,0,,0,,467.0,13.0,4.2,4.2
2025-02-02,10:55:00,BK672316,Success,C7537,eBike,Vijayanagar,RT Nagar,8.0,8.0,0,,0,,0,,160.0,35.0,4.3,3.9
2025-02-10,13:23:00,BK150966,Cancelled,C5144,Prime Sedan,Kudlu,Chandapura,,,1,Wrong Address,1,More than permitted people in there,1,Other Issue,,,,
2025-02-02,12:45:00,BK100198,Cancelled,C8067,Auto,Yelahanka,CV Raman Nagar,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-13,15:53:00,BK362256,Success,C8444,Prime Sedan,MG Road,Yeshwanthpur,6.0,3.0,0,,0,,0,,451.0,24.0,4.1,4.4
2025-02-02,00:06:00,BK734121,Success,C7639,Prime SUV,Bannergatta,Jakkur,4.0,8.0,0,,0,,0,,158.0,18.0,4.9,4.6
2025-02-04,00:27:00,BK339764,Success,C4651,Prime SUV,Sanjay Nagar,Sahakaranagar,7.0,12.0,0,,0,,0,,194.0,21.0,4.1,5.0
2025-02-24,15:13:00,BK613973,Success,C3607,Prime SUV,Vasanth Nagar,Rajagopal Nagar,4.0,11.0,0,,0,,0,,292.0,35.0,3.7,4.4
